id,TÊN THỰC PHẨM,calories,water_g,protein_g,fats_g,carbs_g,fiber_g
33,Bánh mì xíu mại,189,60.5,11.3,7.5,19.0,1.2
34,Bánh mỳ,250,37.2,7.9,0.8,52.8,0.2
35,Bánh mỳ patê,266,45.9,9.8,11.0,31.9,0.6
36,Bánh nếp,216,49.2,5.0,3.2,41.77,0.6
37,Bánh nướng nhân thập cẩm,386,21.4,5.2,14.8,58.1,1.8
38,Bánh nướng nhân trứng đỗ xanh,371,23.7,9.6,13.9,51.9,2.7
39,Bánh phở,141,64.3,3.2,,32.1,
40,Bánh phồng tôm rán,676,3.8,1.6,59.2,34.1,0.0
41,Bánh phồng tôm sống,381,12,3.4,7.4,75.3,0.0
42,"Bánh phu thê (su sê, xu xuê)",185,54.8,2.1,1.3,41.1,1.0
43,Bánh quẩy,200,57.6,3.7,6.8,31.1,0.2
44,Bánh quế,436,3.6,8.3,10.7,76.7,0.3
45,Bánh rán bọc đường,318,31.6,3.7,9.1,55.42,0.2
46,Bánh sô cô la,449,8.5,3.9,17.6,68.8,0.0
47,Bánh tẻ,104,77.7,1.5,3.2,17.23,1.1
48,Bánh thỏi sô cô la,543,0.8,4.9,30.4,62.5,0.0
49,Bánh tôm,204,61.1,4.0,10.8,22.64,0.4
50,Bánh trôi,202,50.1,2.8,0.6,46.37,0.2
51,Bánh trứng nhện,369,11.6,9.6,3.7,74.4,0.2
52,Bầu,18,95.1,0.6,0.02,3.88,1.0
53,Bầu dục bò,67,84.3,12.5,1.8,0.3,0.0
54,Bầu dục lợn,81,82.5,13.0,3.1,0.3,0.0
55,Bí đao,16,95.5,0.6,,3.4,1.0
56,Bì lợn,118,73.3,23.3,2.7,0.0,0.0
57,Bí ngô,29,92,0.3,0.07,6.83,0.7
58,"Bia (cồn: 4,5 g)",43,92.5,0.5,0.0,2.3,0.0
59,Bơ,756,15.4,0.5,83.5,0.5,0.0
60,Bơ thực vật,729,18.5,0.5,80.7,0.1,0.0
61,Bỏng ngô,386,3,8.6,1.6,84.2,3.4
62,Bột cá,323,11.6,71.2,2.9,3.0,0.0
63,Bột ca cao,423,9.4,23.3,17.0,44.2,4.6
64,Bột cóc,342,7.2,55.4,13.4,0.0,0.0
65,Bột đậu tương đã loại béo (đậu nành),331,14,49.0,1.0,31.5,2.5
66,Bột đậu tương rang chín,428,10,41.0,18.0,25.4,2.5
67,Bột đậu xanh,363,10,24.6,2.5,60.4,3.9
68,Bột dong lọc,343,14,0.6,,85.2,0.5
69,Bột gạo nếp,365,10,8.2,1.6,79.4,0.6
70,Bột gạo tẻ,360,10,6.6,0.4,82.6,0.4
71,Bột khoai lang,341,14,2.2,0.5,81.8,1.6
72,Bột khoai riềng (bột đao),343,14,0.2,,85.6,1.5
73,Bột khoai tây (lọc),346,13.6,1.0,0.25,84.85,0.4
74,Bột lạc,583,8,27.5,45.0,17.1,2.1
75,Bột mì,347,14,11.0,1.1,73.2,0.3
76,Bột ngô vàng,367,12,8.3,4.0,74.5,1.5
77,Bột sắn,341,14,2.4,0.5,81.8,2.2
78,Bột sắn dây,343,14,0.7,,85.1,0.8
79,Bột trứng,563,8.5,44.0,42.2,1.8,0.0
80,Bún,112,72,1.7,,26.2,0.5
81,Bún bò Nam bộ,81,79.7,3.2,0.6,15.73,0.4
82,Bún chả,136,70.6,6.1,4.4,17.9,0.6
83,Bún cua,53,86.6,2.1,0.9,9.1,
84,Bún đậu,151,68.6,3.0,6.4,20.3,0.7
85,Bún dọc mùng,408,(g%),3.0,2.6,93.1,
86,Bún nem,120,74.1,3.3,3.9,17.8,0.6
87,Bún ốc,62,83.9,3.1,0.7,10.9,
88,Bưởi,33,91.4,0.2,,8.0,0.7
89,"Cá basa, phi lê",67,82.9,9.7,0.8,5.32,0.0
90,Cà bát,28,92.5,1.2,0.13,5.57,1.5
91,Cá bống,70,81.9,15.8,0.8,0.0,0.0
92,Cá chày,113,75.1,20.1,3.6,0.0,0.0
93,Cá chép,96,79.1,16.0,3.6,0.0,0.0
94,Cá chim,143,71.2,17.7,6.4,3.6,0.0
95,Cá chim trắng,247,61.5,15.1,19.2,3.42,0.0
96,Cà chua,24,94,0.6,0.23,4.77,0.8
97,Cà chua muối,10,94,0.6,,1.8,0.8
98,Cá đao,94,78.3,18.3,2.3,0.0,0.0
99,Cá dầu,96,75.1,18.9,2.3,0.0,0.0
100,Cá đé,83,78.8,18.7,0.9,0.0,0.0
101,Cá diếc,87,78.9,17.7,1.8,0.0,0.0
102,Cá điêu hồng,111,75.2,17.1,3.3,3.11,0.0
103,Cá đối,108,76,19.5,3.3,0.0,0.0
104,Cá đồng tiền,98,76.4,20.1,2.0,0.0,0.0
105,Cá dưa,115,75.6,17.6,5.0,0.0,0.0
106,Cá hồi,136,71.3,22.0,5.3,0.0,0.0
107,"Cá khô (chim, thu, nụ, đé)",208,37.8,43.3,3.9,0.0,0.0
108,Cá lác,71,78.1,16.7,0.5,0.0,0.0
109,Cá mè,144,74.7,15.4,9.1,0.0,0.0
110,Cá mỡ,151,72.7,16.8,9.3,0.0,0.0
111,Cá mối,116,73.3,22.1,3.1,0.0,0.0
112,Cá mòi (cá sardin),124,75.3,17.5,6.0,0.0,0.0
113,Cà muối nén,20,81,1.3,,3.7,1.7
114,Cà muối sổi,23,84.3,1.5,,4.2,1.7
115,Cá nạc,80,80,17.5,1.1,0.0,0.0
116,Cá ngừ,87,77.5,21.0,0.3,0.0,0.0
117,Cá nục,111,74.9,20.2,3.3,0.0,0.0
118,Cà pháo,27,92.5,1.5,,5.2,1.6
119,Cá phèn,104,78.2,15.9,4.5,0.0,0.0
120,Cá quả,97,78,18.2,2.7,0.0,0.0
121,Cá rô đồng,126,74.2,19.1,5.5,0.0,0.0
122,Cá rô phi,100,76.8,19.7,2.3,0.0,0.0
123,Cà rốt,44,88.5,1.5,0.17,9.03,1.2
124,Cà rốt khô,330,14,9.2,1.5,70.0,9.6
125,Cá thờn bơn,73,81.3,17.4,0.4,0.0,0.0
126,Cá thu,166,70.2,18.2,10.3,0.0,0.0
127,Cá thu đao,156,70.3,20.0,8.4,0.0,0.0
128,Cá thu hộp,207,57.5,24.8,12.0,0.0,0.0
129,Cà tím,28,92.5,1.0,,6.0,1.5
130,Cá trạch,110,74.2,20.4,3.2,0.0,0.0
